,Comment,Classes,ner_text,ner_comments
1985,task completed cleaned 1400 farmer record far generated 800 000 alphanumeric code used upcoming mobile marketing promotion ,Very Poor,"1400, 800 000","1400, 800 000"
1986,joram successfully completed weektasks hea promising network expert best luck ,Excellent,,
1987,still encourage fatihi plan movement abit early save transport cost aside perfected io command needed operate intermediary device ,Very Poor,,
1988,due increase task winnie proved good multitasking area studye website design functionality using php graphic design ,Very Poor,,
1989,encourage patricio practice cisco io command also free consult lead trainer incase challenge ,Very Poor,cisco io command,cisco io command
1990,challenge start week student late mastered plot data database different graph like bar chart line graph thus easing reporting ,Very Poor,week,week
1991,encourage emeju use available device hand practice ,Very Poor,,
1992,encourage saul practice command used activate telnet ssh protocol remote access ,Very Poor,,
1993,still encourage martin plan movementsbit early save transport cost avoid traffic jam ,Very Poor,,
1994,keep spirit treyencourage read object oriented programming start practising ,Very Poor,,
1995,patricia successfully completed weektasks without challenge ,Excellent,,
1996,rajab managed complete weekhands task setting upsimple file server onlan building troubleshooting access control list using remote desktop access pc remotely ,Very Poor,,
1997,internship acquiring hand skill practical competence field soencourage gordan get tired learning new stuff practically ,Very Poor,,
1998,awaiting final report review ,Very Poor,,
1999,machine good working conditionencourage chelsea repeat hand practical assigning ip parameter end device ,Very Poor,,
2000,sharon implemented new approach grouping data using method asnearest neighbor algorithmhave also started lesson teach colleague machine learning method used analyzing data ,Very Poor,sharon,sharon
2001,hadchallenge computer progressed activity didnrequire computer ,Very Poor,,
2002,eve started internship main area interest networking well far ,Very Poor,,
2003,progressive didnencounter challange time attended session ,Very Poor,,
2004,able design graphic work assigned well finish system testing report ,Very Poor,,
2005,congratulate alex successfully completing internship maintain positive attitude laidfirm foundation exciting fulfilling career ahead ,Very Poor,alex successfully,alex successfully
2006,focus design process ofsystem able ,Very Poor,,
2007,awaiting review final report ,Very Poor,,
2008,student lack focus task completion ,Very Poor,,
2009,great work figma mockups ,Very Poor,,
2010,tangible progress made week agreed power cut internet connectivity infrastructural setback beyond control therefore revise delivery schedule tomore realistic timeline taken aslesson planning ,Very Poor,week,week
2011,breaking delivery timeline across week helped raziah meet expectation week work good tight supervision need develop self driven competitive market agreed power cut internet connectivity infrastructural setback beyond control therefore revise delivery schedule tomore realistic timeline taken aslesson planning ,Very Poor,"across week, week","across week, week"
2012,last week internship andhave hadlesson diana colleague explain machine learning algorithm used cluster identify data point ,Very Poor,"last week, diana","last week, diana"
2013,progressive ,Neutral,,
2014,challenged system development task offered ,Very Poor,,
2015,trainee exposed live networking environment ,Very Poor,,
2016,progressive since able meet target set week ,Very Poor,,
2017,still encourage get used long training session purely hand ,Very Poor,,
2018,stacey successfully completed weektasks without challenge ,Excellent,stacey,stacey
2019,charlotte successfully finished internship stratcom supposed write end internship report explaining detail new skill acquired ,Poor,charlotte,charlotte
2020,progressive ,Neutral,,
2021,assignment done satisfaction ,Very Poor,,
2022,good progress ,Good,,
2023,arnold able use creativity solve limitation presented h5p library ,Very Poor,arnold,arnold
